department,NACE,workforce
25,85.53,4.5
25,86.90,4.5
25,87.30,4.5
25,95.12,4.5
25,95.29,4.5
26,01.43,4.5
26,01.49,4.5
26,01.62,4.5
26,01.64,4.5
26,02.20,4.5
26,03.22,4.5
26,08.11,4.5
26,10.13,4.5
26,11.05,4.5
26,14.13,4.5
26,23.12,4.5
26,23.70,4.5
26,25.62,4.5
26,26.52,4.5
26,27.11,4.5
26,27.32,4.5
26,28.11,4.5
26,28.12,4.5
26,28.21,4.5
26,29.10,4.5
26,35.12,4.5
26,35.14,4.5
26,38.12,4.5
26,41.10,4.5
26,43.21,4.5
26,45.40,4.5
26,46.14,4.5
26,46.17,4.5
26,46.47,4.5
26,47.19,4.5
26,47.23,4.5
26,47.51,4.5
26,47.63,4.5
26,47.65,4.5
26,47.77,4.5
26,47.79,4.5
26,47.89,4.5
26,49.39,4.5
26,49.50,4.5
26,55.30,4.5
26,55.90,4.5
26,61.90,4.5
26,63.11,4.5
26,64.92,4.5
26,71.11,4.5
26,72.11,4.5
26,77.32,4.5
26,79.12,4.5
26,82.30,4.5
