"annee","departement","naf","taille","nombre",
2018,"02","64.19Z","11",23,"64"
2018,"02","64.20Z","11",2,"64"
2018,"02","64.99Z","11",1,"64"
2018,"02","65.12Z","11",3,"65"
2018,"02","66.21Z","11",3,"66"
2018,"02","66.22Z","11",3,"66"
2018,"02","68.20B","11",1,"68"
2018,"02","68.31Z","11",4,"68"
2018,"02","69.10Z","11",11,"69"
2018,"02","69.20Z","11",20,"69"
2018,"02","70.10Z","11",3,"70"
2018,"02","70.21Z","11",1,"70"
2018,"02","70.22Z","11",4,"70"
2018,"02","71.11Z","11",2,"71"
2018,"02","71.12A","11",2,"71"
2018,"02","71.12B","11",8,"71"
2018,"02","71.20A","11",1,"71"
2018,"02","71.20B","11",2,"71"
2018,"02","73.11Z","11",1,"73"
2018,"02","74.10Z","11",1,"74"
2018,"02","74.90B","11",1,"74"
2018,"02","77.11A","11",1,"77"
2018,"02","77.12Z","11",1,"77"
2018,"02","77.31Z","11",1,"77"
2018,"02","77.32Z","11",3,"77"
2018,"02","77.39Z","11",2,"77"
2018,"02","78.30Z","11",7,"78"
2018,"02","79.90Z","11",2,"79"
2018,"02","80.10Z","11",7,"80"
2018,"02","81.21Z","11",3,"81"
2018,"02","81.22Z","11",1,"81"
2018,"02","81.29A","11",1,"81"
2018,"02","81.30Z","11",8,"81"
2018,"02","82.92Z","11",1,"82"
2018,"02","82.99Z","11",6,"82"
2018,"02","84.11Z","11",108,"84"
2018,"02","84.12Z","11",14,"84"
2018,"02","84.13Z","11",8,"84"
2018,"02","84.23Z","11",4,"84"
2018,"02","84.30A","11",3,"84"
2018,"02","84.30C","11",1,"84"
2018,"02","85.10Z","11",17,"85"
2018,"02","85.20Z","11",77,"85"
2018,"02","85.31Z","11",5,"85"
2018,"02","85.32Z","11",1,"85"
2018,"02","85.52Z","11",1,"85"
2018,"02","85.59A","11",5,"85"
2018,"02","85.59B","11",1,"85"
2018,"02","86.10Z","11",12,"86"
2018,"02","86.21Z","11",2,"86"
2018,"02","86.22C","11",1,"86"
2018,"02","86.90A","11",19,"86"
2018,"02","86.90B","11",4,"86"
2018,"02","86.90C","11",1,"86"
2018,"02","86.90D","11",11,"86"
2018,"02","87.10A","11",1,"87"
2018,"02","87.10B","11",4,"87"
2018,"02","87.10C","11",1,"87"
2018,"02","87.20A","11",4,"87"
2018,"02","87.30A","11",2,"87"
2018,"02","87.30B","11",1,"87"
2018,"02","87.90A","11",5,"87"
2018,"02","87.90B","11",3,"87"
2018,"02","88.10A","11",11,"88"
2018,"02","88.10B","11",3,"88"
2018,"02","88.10C","11",3,"88"
2018,"02","88.91A","11",12,"88"
2018,"02","88.91B","11",3,"88"
2018,"02","88.99A","11",3,"88"
2018,"02","88.99B","11",16,"88"
2018,"02","90.01Z","11",1,"90"
2018,"02","90.02Z","11",1,"90"
2018,"02","91.03Z","11",3,"91"
2018,"02","93.11Z","11",4,"93"
2018,"02","93.12Z","11",1,"93"
2018,"02","93.29Z","11",4,"93"
2018,"02","94.99Z","11",19,"94"
2018,"02","95.11Z","11",1,"95"
2018,"02","96.01A","11",1,"96"
2018,"02","96.01B","11",1,"96"
2018,"02","96.02A","11",2,"96"
2018,"02","96.03Z","11",1,"96"
2018,"02","96.04Z","11",1,"96"
2018,"02","96.09Z","11",3,"96"
2018,"03","01.13Z","11",1,"01"
2018,"03","01.30Z","11",1,"01"
2018,"03","01.49Z","11",1,"01"
2018,"03","01.61Z","11",2,"01"
2018,"03","01.62Z","11",1,"01"
2018,"03","08.12Z","11",4,"08"
2018,"03","10.11Z","11",1,"10"
2018,"03","10.13B","11",1,"10"
2018,"03","10.51C","11",2,"10"
2018,"03","10.61A","11",1,"10"
2018,"03","10.71C","11",15,"10"
2018,"03","10.82Z","11",3,"10"
2018,"03","10.85Z","11",1,"10"
2018,"03","10.86Z","11",1,"10"
2018,"03","10.89Z","11",4,"10"
2018,"03","10.91Z","11",1,"10"
2018,"03","11.02B","11",1,"11"
2018,"03","11.07A","11",1,"11"
2018,"03","15.12Z","11",1,"15"
2018,"03","16.10A","11",5,"16"
2018,"03","16.24Z","11",3,"16"
2018,"03","16.29Z","11",1,"16"
2018,"03","20.42Z","11",1,"20"
2018,"03","20.59Z","11",1,"20"
2018,"03","22.11Z","11",1,"22"
2018,"03","22.23Z","11",2,"22"
2018,"03","22.29A","11",1,"22"
2018,"03","22.29B","11",1,"22"
2018,"03","23.12Z","11",1,"23"
2018,"03","23.32Z","11",1,"23"
2018,"03","23.70Z","11",1,"23"
2018,"03","23.99Z","11",1,"23"
2018,"03","24.33Z","11",1,"24"
2018,"03","25.11Z","11",6,"25"
2018,"03","25.12Z","11",1,"25"
2018,"03","25.29Z","11",1,"25"
2018,"03","25.50B","11",1,"25"
2018,"03","25.61Z","11",2,"25"
2018,"03","25.62B","11",12,"25"
